1980,379,309,136,119.18,35.6,1.87,7.05,126.39,136.75
1981,455,403,157,161.83,38.4,1.68,8.49,136.75,139.63
1982,569,495,207,184.56,39.4,1.77,9.61,139.63,142.19
1983,689,612,311,237.59,41.8,1.45,9.07,142.19,144.28
1984,855,720,351,230.5,42.33,1.53,9.54,144.28,141.72
1985,1028,874,426,276.59,42.93,1.6,9.49,141.72,146.61
1986,1268,1087,472,330.64,46.21,1.55,10.25,146.61,145.45
1987,1446,1197,652,398.14,45.8,1.49,9.35,145.45,148.94
1988,1705,1417,486,455.1,47.8,1.43,9.08,148.94,155.92
1989,1892,1524,458,526.91,49.3,1.31,9.31,155.92,165.23
1990,2113,1761,473,602.04,52.15,1.37,10.13,165.23,202.46
1991,2372,1903,506,740.62,55.46,1.26,10.88,202.46,217.59
1992,2641,2123,705,867.65,59.83,1.18,11.54,217.59,260.64
1993,3090,2574,689,987.98,60.87,1.11,12.07,260.64,302.53
1994,3603,2826,964,1110.87,63.39,1.11,12.96,302.53,349.31
1995,3987,2878,1073,1183.27,63.12,1.2,13.57,349.31,372.58
1996,4530,3002,1003,1309.18,64.79,1.2,14.76,372.58,403.76
1997,4872,3172,1044,1406.31,67.45,1.07,14.59,403.76,420.05
1998,5110,3260,854,1576.06,68.89,1.01,14.88,420.05,439.82
1999,5400,3375,686,1676.03,70.12,0.95,15.4,439.82,464.97
2000,5524,3497,758,1651.9,71.88,0.88,15.82,464.97,471.25
2001,5653,3704,891,1808.34,71.88,0.91,16.46,471.25,520.5
2002,6958,5523,1043,1926.73,72.95,0.83,17.22,520.5,611.55
2003,8680,7805,1181,1958.05,72.83,0.83,17.74,611.55,715.87
2004,9864,8263,1319,2536.5,72.28,0.89,17.71,715.87,810.95
2005,11805,9522,1946,3003.2,72.01,0.84,16.98,810.85,905.1
2006,12314,11092,2347,3298.7,72.31,0.85,17.20,905.1,962.3
